nu,[0]Methylacetoacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
535.787516,0.735459356613853
535.907118,0.7379567945984242
536.026721,0.7282287959572925
536.146323,0.7253507122920375
536.265925,0.7232719402125797
536.385528,0.7335569815194137
536.50513,0.7500765582460132
536.624732,0.7276682756124324
536.744335,0.7236264303062641
536.863937,0.7070881069410189
536.98354,0.7153309330074632
537.103142,0.7339458697659011
537.222744,0.7193624106922814
537.342347,0.7210260586345714
537.461949,0.7089431067698585
537.581552,0.7120479673256578
537.701154,0.7029355991315628
537.820756,0.6972508732884191
537.940359,0.7107674338103794
538.059961,0.7120835706140989
538.179564,0.7129385838041482
538.299166,0.7444571380296966
538.418768,0.6938565778437463
538.538371,0.7082274357067457
538.657973,0.7168132016575605
538.777576,0.7089076605006841
538.897178,0.7437353647224548
539.01678,0.699989460836452
539.136383,0.7213866618071693
539.255985,0.7440701209510824
539.375588,0.7354446475738116
539.49519,0.6873923799151819
539.614792,0.756706360303363
539.734395,0.7176882474329708
539.853997,0.7048783811911302
539.973599,0.7226718735643111
540.093202,0.7018328561207023
540.212804,0.727930283350216
540.332407,0.6984022868843346
540.452009,0.740551574121533
540.571611,0.7144016069873467
540.691214,0.730380242729108
540.810816,0.7068053282577494
540.930419,0.7141016213138132
541.050021,0.6908517654552397
541.169623,0.7203197992207465
541.289226,0.7294313653175113
541.408828,0.7178317994371793
541.528431,0.7045542117004814
541.648033,0.7005146498533424
541.767635,0.7038288944649302
541.887238,0.7264831424690944
542.00684,0.7124397014246892
542.126443,0.7158604738038187
542.246045,0.7272899864728144
542.365647,0.7257860533086575
542.48525,0.7238725051229165
542.604852,0.7215598153836009
542.724454,0.7278574939614112
542.844057,0.7180184599698507
542.963659,0.7100712229242995
543.083262,0.7338578015457281
543.202864,0.7128102664079756
543.322466,0.7117062663161444
543.442069,0.732684567900461
543.561671,0.7275154813185163
543.681274,0.7318717392334588
543.800876,0.7222022894778557
543.920478,0.7213289531826004
544.040081,0.7222961818783615
544.159683,0.7185715470952436
544.279286,0.7170928133269383
544.398888,0.7313230412165104
544.51849,0.7344671563682804
544.638093,0.729314665635284
544.757695,0.7158962677223494
544.877298,0.7363129844759649
544.9969,0.7217979694159317
545.116502,0.7352828675478007
545.236105,0.7382963328117415
545.355707,0.7408923062080006
545.47531,0.7358492533863762
545.594912,0.7380970197103618
545.714514,0.7418412555579676
545.834117,0.7378534878788195
545.953719,0.7414481838657214
546.073321,0.7451945155379873
546.192924,0.7433635899915216
546.312526,0.743742802113289
546.432129,0.7534218366542618
546.551731,0.736799111449974
546.671333,0.7414185265315175
546.790936,0.748899861997825
546.910538,0.7373297978343908
547.030141,0.759162065004111
547.149743,0.7448071151227449
547.269345,0.7564642530072992
547.388948,0.7541831771214983
547.50855,0.7623191339609131
547.628153,0.7516308248325098
547.747755,0.7435197127377345
547.867357,0.7548622475167482
547.98696,0.7625249879161159
548.106562,0.7647242252629812
548.226165,0.7613059234470925
548.345767,0.7698650802052326
548.465369,0.756305412193037
548.584972,0.7687957111274337
548.704574,0.7537232656707078
548.824176,0.7606134501798786
548.943779,0.7621438207218975
549.063381,0.7760952666752523
549.182984,0.7736312036638786
549.302586,0.7815860706471087
549.422188,0.7727188572338115
549.541791,0.76712923321676
549.661393,0.7859752308208865
549.780996,0.7674898686990715
549.900598,0.7789409798296875
550.0202,0.7823367535450686
550.139803,0.7882421022135949
550.259405,0.7827906404766108
550.379008,0.782344576951721
550.49861,0.7959172944345645
550.618212,0.7947799461013949
550.737815,0.7891175367233196
550.857417,0.7862031966912781
550.97702,0.800186862871553
551.096622,0.7916705071946738
551.216224,0.7986280188558275
551.335827,0.8079298851748318
551.455429,0.810414041150665
551.575032,0.8043586718613867
