nu,[0]Acetol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
529.887198,0.9129957987371512
530.007,0.934400623159206
530.126803,0.9381231956068667
530.246605,0.9547344881848608
530.366407,0.9537077463617362
530.48621,0.9746703185356443
530.606012,0.9159550386096237
530.725815,0.9573885132064268
530.845617,0.8859719393864366
530.965419,0.9370131150406446
531.085222,0.9271666093074088
531.205024,0.9704338882719774
531.324826,0.9617920653160112
531.444629,0.9665367086896706
531.564431,0.9113520617596393
531.684234,0.953477930488788
531.804036,0.9624915423765997
531.923838,0.9183377836455179
532.043641,0.9913956313020864
532.163443,0.9011171568740768
532.283246,0.9284739078354564
532.403048,0.9329683514365542
532.52285,0.9812195914213505
532.642653,0.9859792196571687
532.762455,0.9798301878851925
532.882258,0.9274179055076283
533.00206,0.9581806009900028
533.121862,0.9301355042071533
533.241665,0.9190313904758008
533.361467,0.9962732615909858
533.48127,0.9865502669275817
533.601072,0.94882680467948
533.720874,0.9664584223869047
533.840677,0.9617872563677071
533.960479,0.9314628235899499
534.080282,0.9661482390204124
534.200084,0.9979700631143473
534.319886,0.9688727467679897
534.439689,0.997964474497642
534.559491,0.9486294692277052
534.679294,0.9837042362771926
534.799096,0.9736659512775226
534.918898,0.9533577998379363
535.038701,0.908545781509542
535.158503,1.0
535.278306,0.8966407489399882
535.398108,0.9755420634123143
535.51791,0.9472615840701072
535.637713,0.9584192176661925
535.757515,0.9398678487852047
535.877318,0.94491434103902
535.99712,0.9549617420351844
536.116922,0.9884937095732086
536.236725,0.9997274971356521
536.356527,0.9206383415780475
536.47633,0.9989802203290661
536.596132,0.9612737990781044
536.715934,1.0
536.835737,0.9923349276515535
536.955539,0.9567415372740021
537.075342,0.9928268507301676
537.195144,0.9747658409073806
537.314946,0.9630846198158011
537.434749,0.9645476924598689
537.554551,0.9946540407729881
537.674353,0.9125786549817364
537.794156,0.9914091143743567
537.913958,0.9677495059873444
538.033761,0.9780318920704593
538.153563,0.9621893674762356
538.273365,0.9680969904297193
538.393168,0.9477741912348246
538.51297,0.9738684948591906
538.632773,0.9855760366128818
538.752575,0.9190056579571245
538.872377,0.9878118841704184
538.99218,0.9782920831576304
539.111982,0.9780201557581725
539.231785,0.9505257751089683
539.351587,0.9453604458804509
539.471389,0.9927800896867295
539.591192,0.9771032029701602
539.710994,0.9945562710862389
539.830797,0.9623462171260334
539.950599,0.9994326510033416
540.070401,0.9578730743777469
540.190204,1.0
540.310006,0.970006991285362
540.429809,0.9797665009928264
540.549611,0.9760572856284914
540.669413,0.9996081068102044
540.789216,0.9721375229628587
540.909018,0.9646306471284201
541.028821,1.0
541.148623,1.0
541.268425,0.9669640123420619
541.388228,0.9848784957375675
541.50803,0.9986586004816944
541.627833,0.9698188281814639
541.747635,0.9886528698725102
541.867437,0.9864960081550307
541.98724,0.966539608304146
542.107042,0.9895262358909586
542.226845,0.9910824988840276
542.346647,0.9866459669448495
542.466449,0.9808752437813077
542.586252,0.9958262344715728
542.706054,0.9473373680281507
542.825857,0.9464652719740754
542.945659,0.9619094111059274
543.065461,0.9860265477955785
543.185264,0.9989385637224246
543.305066,0.9955603843595382
543.424868,0.9783145841343033
543.544671,0.9993128561915113
543.664473,0.9976582461935555
543.784276,0.9791954635963227
543.904078,0.9811666069940062
544.02388,0.9910436492115299
544.143683,0.9945269321089939
544.263485,1.0
544.383288,0.9894391614135334
544.50309,0.9695560428880423
544.622892,0.9666546333613893
544.742695,0.9976539562723202
544.862497,0.9790789462690732
544.9823,0.9919467029554788
545.102102,0.9547402166089752
545.221904,0.9910070803755731
545.341707,0.9985776125533002
545.461509,1.0
545.581312,0.9736893195407713
545.701114,0.9911289817432397
545.820916,0.9707871905044138
545.940719,0.9910026208537454
546.060521,0.9999726053752396
546.180324,0.9920056263396416
546.300126,0.9782363220980957
546.419928,0.9880539277311657
546.539731,1.0
546.659533,0.9765766862527616
546.779336,0.9876370569395867
546.899138,0.9982541258145146
547.01894,1.0
547.138743,1.0
547.258545,1.0
547.378348,0.9510857997015596
547.49815,0.9707794242379548
547.617952,0.9721404393798022
547.737755,0.9857850008820737
547.857557,0.9692952673883826
547.97736,0.9847603174089206
548.097162,0.9743087829164718
548.216964,0.9971760947427402
548.336767,0.9687264580283056
548.456569,0.980065375351652
548.576372,1.0
548.696174,0.9846894172185046
