nu,[0]2-Pentylfuran-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
661.107222,0.9998452919685219
661.242225,1.0006543840158595
661.377228,1.0014519530646406
661.51223,1.0014627688041386
661.647233,1.0012676027300504
661.782236,0.9994940480368834
661.917238,0.9994199283066745
662.052241,0.9999041495939437
662.187244,1.0018352820724055
662.322246,1.0012950378382244
662.457249,1.0008261310584365
662.592252,1.0007504114178707
662.727255,0.9974730980053453
662.862257,0.9974038757743829
662.99726,1.0002103521209054
663.132263,1.0007540241333768
663.267265,1.0018825698137013
663.402268,1.0006695440446143
663.537271,0.9985681261110416
663.672273,0.9969488642046516
663.807276,1.000043187932572
663.942279,0.9998086783043303
664.077282,1.0005619378279378
664.212284,0.9998868164057464
664.347287,1.001506834135396
664.48229,0.9976045736237154
664.617292,0.9984169543407402
664.752295,0.99903181898997
664.887298,0.9979725580426237
665.0223,1.00016344335541
665.157303,1.0010601615744106
665.292306,0.9991736316305624
665.427309,0.9990798635853683
665.562311,0.9981394330046865
665.697314,0.9979958110741229
665.832317,0.9984173537076019
665.967319,0.9980910244161035
666.102322,0.9960463363897571
666.237325,0.9996287589270267
666.372327,1.0000471161099291
666.50733,0.9985366717104786
666.642333,0.9978344481980124
666.777336,0.9962859143417528
666.912338,0.9974840702697707
667.047341,0.9959826910623517
667.182344,0.997224060066454
667.317346,0.9988186982868479
667.452349,0.9984560930524641
667.587352,0.9953617898733171
667.722354,0.9932440249114608
667.857357,0.9951132790622518
667.99236,0.995653174911333
668.127363,0.9980629784523651
668.262365,0.9980600840739244
668.397368,0.9962302235157142
668.532371,0.9952467327008404
668.667373,0.9949804403066811
668.802376,0.9945507015867154
668.937379,0.9938742394478726
669.072381,0.9967783008460975
669.207384,0.9973997864268754
669.342387,0.9967765066467709
669.47739,0.9934534228216765
669.612392,0.9941626041900199
669.747395,0.9943432599472797
669.882398,0.9948389641472629
670.0174,0.9944735274466677
670.152403,0.9935486002185073
670.287406,0.9954983628795817
670.422408,0.9937417648413828
670.557411,0.9941517678766922
670.692414,0.9926799232291629
670.827417,0.9922815414685471
670.962419,0.99320350138193
671.097422,0.9914748469776515
671.232425,0.9925160453023328
671.367427,0.9935719488849581
671.50243,0.9937389823683367
671.637433,0.9933062039336034
671.772435,0.9895846196611804
671.907438,0.9916373630228973
672.042441,0.9893303290916653
672.177444,0.9922015667993271
672.312446,0.9916060277773252
672.447449,0.9920412399808882
672.582452,0.991705094167784
672.717454,0.9906956557931479
672.852457,0.9903104491608945
672.98746,0.989742965867685
673.122462,0.9912268110015322
673.257465,0.9916879378180578
673.392468,0.990997566753267
673.527471,0.9883345748966526
673.662473,0.9877921281302962
673.797476,0.9870673547326251
673.932479,0.988477893800382
674.067481,0.9898637218754875
674.202484,0.988790302172746
674.337487,0.9884037607383714
674.472489,0.9879976102623481
674.607492,0.9891097330256534
674.742495,0.9873171143666339
674.877498,0.987913634034516
675.0125,0.9873269875871435
675.147503,0.9894817082122238
675.282506,0.9867920013542372
675.417508,0.9865729578446657
675.552511,0.988297018896375
675.687514,0.9856322160480675
675.822516,0.9875274353103793
675.957519,0.9859723178267875
676.092522,0.9856184172936343
676.227525,0.9874662105073786
676.362527,0.9895064455641447
676.49753,0.9870120805084528
