nu,[0]Methylisothiocyanate-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
610.50221,0.9645467279126587
610.620212,0.9582764238411645
610.738215,0.9608480490956965
610.856217,0.9657811724366525
610.974219,0.9639537140454476
611.092222,0.9592601200018631
611.210224,0.9698130092859515
611.328227,0.964127241330963
611.446229,0.9629392050173025
611.564231,0.9701631749834093
611.682234,0.9660042936569941
611.800236,0.9604167251611222
611.918238,0.9621104711828948
612.036241,0.9599884748086278
612.154243,0.9599462362449914
612.272245,0.9663173297572488
612.390248,0.9650793046841323
612.50825,0.9684126414969279
612.626253,0.9628872077041717
612.744255,0.9689725458004689
612.862257,0.9680437465594655
612.98026,0.9668702213817998
613.098262,0.9620970017305847
613.216264,0.9674418105706046
613.334267,0.9577341928511162
613.452269,0.9625839459999709
613.570271,0.9671999803479994
613.688274,0.9663202287135866
613.806276,0.9678608035800219
613.924278,0.971272705468292
614.042281,0.965438380969523
614.160283,0.9731695082461045
614.278286,0.9621008501262883
614.396288,0.9660806110106889
614.51429,0.9663279593063385
614.632293,0.9711182853848446
614.750295,0.9694203145432437
614.868297,0.9583827984278912
614.9863,0.9651748522648231
615.104302,0.9750358884451692
615.222304,0.9667909412741753
615.340307,0.9734916806699286
615.458309,0.9666604333065894
615.576312,0.9677166030634937
615.694314,0.9690432833782024
615.812316,0.9723572508713668
615.930319,0.9661965476400688
616.048321,0.9700913855647018
616.166323,0.9620460119407342
616.284326,0.9673847331875803
616.402328,0.9631886385716529
616.52033,0.9681299062869603
616.638333,0.9619671274020654
616.756335,0.9716156252551038
616.874337,0.9752474941913549
616.99234,0.9714660079696412
617.110342,0.972262936792339
617.228345,0.9660110557107169
617.346347,0.9704125389612787
617.464349,0.9673886027342522
617.582352,0.9665444410142693
617.700354,0.9643856620584704
617.818356,0.9768843563644297
617.936359,0.9686344333860326
618.054361,0.9695511951199473
618.172363,0.9679450111329088
618.290366,0.9715971647335995
618.408368,0.9679111336503785
618.526371,0.971293102409274
618.644373,0.9648235925517449
618.762375,0.9688950310974342
618.880378,0.9689308808768017
618.99838,0.9741665442178437
619.116382,0.9734361932255376
619.234385,0.9630123911779227
619.352387,0.9663463197119887
619.470389,0.9636096439896926
619.588392,0.9689812665926245
619.706394,0.9713358402460055
619.824396,0.9666362670978356
619.942399,0.967511468888635
620.060401,0.9729544615483174
620.178404,0.9623308197097391
620.296406,0.9686818976361332
620.414408,0.9656865305192834
620.532411,0.9632117553763792
620.650413,0.9640963897528683
620.768415,0.9703727528628019
620.886418,0.9697858549018546
621.00442,0.967652735875332
621.122422,0.9703087103745383
621.240425,0.9705610234385126
621.358427,0.9702417613832892
621.47643,0.9673673204190983
621.594432,0.9756532815468565
621.712434,0.9655214122405797
621.830437,0.9692225729694033
621.948439,0.9638476849686087
622.066441,0.9705047325316053
622.184444,0.964680809226274
622.302446,0.9671487201074492
622.420448,0.9667416361934607
622.538451,0.9632551008806376
622.656453,0.9687661766273105
622.774455,0.9682005823497641
622.892458,0.9663791760454133
623.01046,0.9712591077455998
623.128463,0.9623866365159539
623.246465,0.9672821958404378
623.364467,0.9683041853547375
623.48247,0.9667310020939501
623.600472,0.9669562766609059
623.718474,0.9642766926355462
623.836477,0.9655387917824155
623.954479,0.9590539012453735
624.072481,0.9653341192546122
624.190484,0.9680747244549991
624.308486,0.9711173142670447
624.426489,0.9663907726651055
624.544491,0.966927268407732
624.662493,0.9668334810114587
624.780496,0.9681299062869603
624.898498,0.9691731438786343
625.0165,0.9632551008806376
625.134503,0.9706114939239526
625.252505,0.9671419500901036
625.370507,0.9654335537896861
625.48851,0.9624896173954399
625.606512,0.9676053220529222
625.724514,0.9709600060044468
625.842517,0.9640163730732569
625.960519,0.9638496126659064
626.078522,0.964719397230398
626.196524,0.9662013786348844
626.314526,0.9658091804967681
626.432529,0.9684320099434416
626.550531,0.9667464699137258
626.668533,0.9667300353634314
626.786536,0.9621114332938471
626.904538,0.9666179011832374
627.02254,0.966274812730121
627.140543,0.9734615028955858
627.258545,0.9635171419040408
627.376548,0.9663511514556666
627.49455,0.9618747829904375
