nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
645.558319,0.7204710822627464
645.618584,0.7328384478165457
645.678849,0.7043921828658205
645.739114,0.6704876469963954
645.799379,0.683239378396919
645.859644,0.7115212467404893
645.919909,0.7017416237796373
645.980174,0.6716351617182258
646.040439,0.6753258255874385
646.100704,0.6995835846646348
646.160969,0.7041456887408056
646.221234,0.6981439258379284
646.281499,0.7120052457292789
646.341763,0.7217041417788361
646.402028,0.7080149993430815
646.462293,0.694564672620091
646.522558,0.7029426285227011
646.582823,0.6952804427912479
646.643088,0.6638626521988805
646.703353,0.6591000071996544
646.763618,0.7130098812273404
646.823883,0.756305412193037
646.884148,0.750444185820954
646.944413,0.74053676323816
647.004678,0.7659794019559738
647.064943,0.770743226845148
647.125208,0.7115924024228882
647.185473,0.6408435010489736
647.245738,0.6408435010489736
647.306003,0.6744012626765871
647.366268,0.6771787557045539
647.426533,0.6512445854743659
647.486798,0.6450290012621803
647.547063,0.6559504673350879
647.607328,0.6730201562059074
647.667593,0.7123470902833585
647.727858,0.7497765876208394
647.788123,0.7339972477749941
647.848388,0.6827749335487541
647.908653,0.6629537830828672
647.968918,0.6881695723355037
648.029183,0.6827749335487541
648.089448,0.6342957187065604
648.149713,0.6160913690919047
648.209978,0.6647727673189006
648.270243,0.6948008647591702
648.330508,0.6532600435225168
648.390773,0.6019084028405146
648.451038,0.6031435806910649
648.511302,0.6192662311346078
648.571567,0.6188390848175513
648.631832,0.6386555597875291
648.692097,0.6795054668651344
648.752362,0.6739428257042026
648.812627,0.6141967269218211
648.872892,0.5846335723818578
648.933157,0.6267359245712895
648.993422,0.6643142323222168
649.053687,0.646139405818518
649.113952,0.6175717641411949
649.174217,0.6218166528710756
649.234482,0.6165166188308663
649.294747,0.5772729927569193
649.355012,0.554022488554536
649.415277,0.5727419572996661
649.475542,0.5824336532671113
649.535807,0.5678602098329032
649.596072,0.5792506462520062
649.656337,0.6224574539794514
649.716602,0.6377812007433225
649.776867,0.6129327839725722
649.837132,0.6008800189904405
649.897397,0.6139879355312154
649.957662,0.6006697477834017
650.017927,0.5620525096006305
650.078192,0.5601279719615837
650.138457,0.5926981686714611
650.198722,0.5852360551867911
