nu,[0]CFC-113a-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.0036atm-L=15cm
846.273822,0.9954772585379955
846.393024,0.9954641183249083
846.512226,0.995191697078271
846.631428,0.9948609503313169
846.75063,0.9949020389370395
846.869832,0.9945948606181891
846.989034,0.9946323575512472
847.108236,0.9945160918245136
847.227438,0.9944952072058746
847.34664,0.9939128025164817
847.465842,0.9936180516929634
847.585044,0.993820671070047
847.704246,0.9935200857828651
847.823448,0.9932379661413882
847.94265,0.9930676404360416
848.061852,0.992964565364653
848.181054,0.9926141107319612
848.300256,0.9925437368862926
848.419458,0.9920853867983268
848.53866,0.9919807273109046
848.657862,0.9916376605141508
848.777064,0.9911830988630268
848.896266,0.9909903324974347
849.015468,0.9908845003814596
849.13467,0.9903124297837734
849.253872,0.9901918170752889
849.373074,0.9898498638803874
849.492276,0.9894668660979168
849.611478,0.9893461585035658
849.73068,0.9886350742810133
849.849882,0.9884067259541015
849.969084,0.9881823830911882
850.088286,0.9876963169407853
850.207488,0.9871601434249702
850.32669,0.9869074627727569
850.445892,0.986527576532383
850.565094,0.9860255617695237
850.684296,0.9855247879914537
850.803498,0.9853828826394135
850.9227,0.9846815397346768
851.041902,0.9844659180889069
851.161104,0.9838852545098343
851.280306,0.9830375108504567
851.399508,0.982674836926407
851.51871,0.9823083675630185
851.637912,0.9815208720801317
851.757114,0.9810282722552482
851.876316,0.9806241718574772
851.995518,0.9800790963629538
852.11472,0.9791827341380377
