nu,[0]HFC-365mfc-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
857.686726,0.6123813926303198
857.92778,0.6028239992898509
858.168834,0.5979429086942788
858.409888,0.5933267618257674
858.650942,0.5949963547058884
858.891996,0.5891172788241399
859.13305,0.5904265719607845
859.374104,0.5892468988831648
859.615158,0.5885225707506598
859.856212,0.5866833749471771
860.097266,0.5898069494189879
860.33832,0.5920643208000681
860.579374,0.5842478415292691
860.820428,0.5897597667503663
861.061482,0.585335553773313
861.302536,0.5800737664467106
861.54359,0.5824744250498358
861.784644,0.5762175492055716
862.025698,0.5669126746945379
862.266752,0.5552593372777787
862.507806,0.5477753616895938
862.74886,0.5329274395565734
862.989914,0.5199669641009046
863.230968,0.5016864279402812
863.472022,0.48728797803465007
863.713076,0.49225421439815426
863.95413,0.5416582562121001
864.195184,0.5795635260709303
864.436238,0.6001894041482473
864.677292,0.60156541281234
864.918346,0.6097720988905043
865.1594,0.613681018299152
865.400454,0.6146083766161072
865.641508,0.6081705052891798
865.882562,0.6116041619076544
866.123616,0.6007718703206946
866.36467,0.5988105548032958
866.605724,0.5922360443518117
866.846778,0.5867185770057253
867.087832,0.5852009420768837
867.328886,0.5845984954198342
867.56994,0.5854057982543505
867.810994,0.5877756214989774
868.052048,0.586519126598034
868.293102,0.5922597342673809
868.534156,0.5972437245935649
868.77521,0.6054943785574283
869.016264,0.612148731909457
869.257318,0.6211330306140906
869.498372,0.6307788205474283
869.739426,0.6379534249167403
869.98048,0.649943397924696
870.221534,0.6635971602399326
870.462588,0.6747790331495459
870.703642,0.6840118752730424
870.944696,0.6996955269933286
871.18575,0.7138802841202434
871.426804,0.7183847427786124
871.667858,0.7384883148148513
871.908912,0.7485928759908377
872.149966,0.7572816757293637
872.39102,0.7671752623516133
872.632074,0.7800478617211956
872.873128,0.7838246063894105
873.114182,0.7922248705542494
873.355236,0.8020213905199826
873.59629,0.8078006267341548
873.837344,0.8132879907458568
874.078398,0.817127612393039
874.319452,0.8218560671899788
874.560506,0.8285069943222313
874.80156,0.8292529862631403
875.042614,0.8357965974386495
875.283668,0.8297340925024952
875.524722,0.8303566264929373
875.765776,0.8328680939119499
876.00683,0.8242841222084961
876.247884,0.8290042476799143
876.488938,0.8242923650909326
876.729992,0.8283578764842613
