nu,[0]CFC-13B1-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
582.360647,0.9893184571989477
582.48045,0.9889346760959032
582.600252,0.9886627564506417
582.720054,0.9895925363698045
582.839857,0.989388701303045
582.959659,0.9898993576109144
583.079462,0.9902400405910136
583.199264,0.9904186960085702
583.319066,0.9902725209970207
583.438869,0.9898102706777016
583.558671,0.9896816037060479
583.678474,0.9900231027645268
583.798276,0.9903976993547802
583.918078,0.990312726877547
584.037881,0.9903222339253588
584.157683,0.990104585018833
584.277486,0.9900766644632172
584.397288,0.9897875053032787
584.51709,0.989918165877387
584.636893,0.9905781662556381
584.756695,0.991156039933784
584.876498,0.9902604397459602
584.9963,0.9912693355438691
585.116102,0.9907025906870105
585.235905,0.9906265076496718
585.355707,0.990923145630552
585.47551,0.9918630853729503
585.595312,0.9910240267415386
585.715114,0.9910140174494154
585.834917,0.9908511081364593
585.954719,0.9912007420792107
586.074521,0.9920169352682426
586.194324,0.9915188694381487
586.314126,0.9900389432608946
586.433929,0.9918214279981756
586.553731,0.9915190677419424
586.673533,0.9921222930611678
586.793336,0.9908866803297584
586.913138,0.9907453899633859
587.032941,0.9913004618896862
587.152743,0.992119614334593
587.272545,0.9916384538245966
587.392348,0.9917632097890733
587.51215,0.9913778854791117
587.631953,0.9914483749526404
587.751755,0.9921169356152505
587.871557,0.9921503705193557
587.99136,0.9913215768143977
588.111162,0.9915654719201621
588.230965,0.9921875768558646
588.350767,0.9920916369559516
588.470569,0.9925646797800877
588.590372,0.9919672364647512
588.710174,0.9916344872787143
588.829977,0.9917304821431594
588.949779,0.9924619546518475
589.069581,0.991961780659954
589.189384,0.9923773012576342
589.309186,0.9923363169214247
589.428989,0.9925054254374645
589.548791,0.9916073168659992
589.668593,0.9931033915146128
589.788396,0.9917987155475331
589.908198,0.9924433957868214
590.028001,0.9921108837204016
590.147803,0.9917741192443829
590.267605,0.992062469890583
590.387408,0.9928459131887007
590.50721,0.992549890676538
590.627013,0.9920377678426245
590.746815,0.9932606122251805
590.866617,0.9925223974253495
590.98642,0.993021265260102
591.106222,0.9922795569074486
591.226025,0.9932612081817266
591.345827,0.9925493944017167
591.465629,0.993257930425148
591.585432,0.9919624750334435
591.705234,0.9927298562851071
591.825037,0.9922440339351764
591.944839,0.9930035896388939
592.064641,0.9926146070391406
592.184444,0.99240201176008
592.304246,0.9931729111851789
592.424048,0.9924270206058865
592.543851,0.9920244746256002
592.663653,0.9929909785733859
592.783456,0.9932628967272158
592.903258,0.9920683230764222
593.02306,0.9927952793383023
593.142863,0.9933878570594642
593.262665,0.9933627246646067
593.382468,0.9923040665151966
593.50227,0.9924490527302997
593.622072,0.9927903153743155
593.741875,0.9930739960892785
593.861677,0.992461855405657
593.98148,0.992631779420383
594.101282,0.9924975846755746
594.221084,0.9933850755773586
594.340887,0.9925023486754146
594.460689,0.9927239991962334
594.580492,0.9928468067504247
594.700294,0.9930574118920221
594.820096,0.9931574178086131
594.939899,0.9924196766731066
595.059701,0.9927453429916612
595.179504,0.9932401512673172
595.299306,0.9926796254252306
595.419108,0.9939337742978664
595.538911,0.9922135725109198
595.658713,0.99330997850435
595.778516,0.9932919004272522
595.898318,0.9933421622690277
596.01812,0.9919333117653797
596.137923,0.9925488981271436
596.257725,0.9926399190343467
596.377528,0.9929348761680044
596.49733,0.9928491895856203
596.617132,0.9934043474347611
596.736935,0.9930994191089916
596.856737,0.9939781047327614
596.97654,0.9932860400223279
597.096342,0.9927319410199943
597.216144,0.9931189833602553
597.335947,0.9930321885540979
597.455749,0.9925390719416919
597.575552,0.9928489910158023
597.695354,0.9926709891500572
597.815156,0.9924190812214793
597.934959,0.9933890491256079
598.054761,0.9931602979693009
598.174563,0.9926214561035585
598.294366,0.9926493491583706
598.414168,0.9923322483508659
