nu,[0]Trifluoroaceticacid-PNNL(x-sec)-X=0.01-T=298.16K-P=1.0atm-L=15cm
559.00958,0.7534369052416803
559.139783,0.7592076160945304
559.269985,0.7516533740954919
559.400188,0.7466266634298406
559.530391,0.7478371788773698
559.660593,0.7451199998122818
559.790796,0.7396560486190366
559.920998,0.7348565271352943
560.051201,0.7313815494001038
560.181404,0.730920924136175
560.311606,0.7287678847045369
560.441809,0.724393880999397
560.572011,0.7233298042823286
560.702214,0.7208674503492228
560.832417,0.7091487300847613
560.962619,0.7000244611844952
561.092822,0.7051885959210902
561.223024,0.6854292463277916
561.353227,0.6775716333063534
561.48343,0.6785480393019083
561.613632,0.6889752019365507
561.743835,0.6790910949266368
561.874037,0.6799200916476239
562.00424,0.6751502636968206
562.134443,0.671185316874725
562.264645,0.6737271985021697
562.394848,0.6729259399793284
562.525051,0.6680581889718396
562.655253,0.6742394257947473
562.785456,0.664679705645945
562.915658,0.6458164168695749
563.045861,0.6127611868177827
563.176064,0.6093636884170343
563.306266,0.6417990695873095
563.436469,0.6506261968992464
563.566671,0.6640751222409778
563.696874,0.6551244902211042
563.827077,0.6602148279700362
563.957279,0.6596538838013069
564.087482,0.6637829934602365
564.217684,0.6634511849225535
564.347887,0.6620130567846346
564.47809,0.6597594368667351
564.608292,0.6621189873479393
564.738495,0.6604789667254534
564.868697,0.6512055119714543
564.9989,0.6591527373094066
565.129103,0.6532535109547444
565.259305,0.6502944621383822
565.389508,0.6568694411209081
565.51971,0.6455516864121106
565.649913,0.6398637601852523
565.780116,0.6475689529731452
565.910318,0.6405423753735575
566.040521,0.6258403326999568
566.170723,0.6153401959304116
566.300926,0.6030048736194307
566.431129,0.6167817779820953
566.561331,0.6328764864302354
566.691534,0.6314162289932612
566.821736,0.6305076439617372
566.951939,0.6238720373446704
567.082142,0.6288515875268942
567.212344,0.6266168560574878
567.342547,0.6244400192912444
567.472749,0.6254086518174252
567.602952,0.6226504457023565
567.733155,0.6253211007348896
567.863357,0.6217358219603254
567.99356,0.6100343572745388
568.123762,0.617905342952004
568.253965,0.6086450633368838
568.384168,0.6115613511147162
568.51437,0.6099001644776874
568.644573,0.6010302577742537
568.774775,0.6045505437094698
568.904978,0.6088946589764617
569.035181,0.602631126471375
569.165383,0.6019505379034235
569.295586,0.6028842847040004
569.425789,0.6010783421182238
569.555991,0.6035116105129702
569.686194,0.5981282997301
569.816396,0.5924848357329723
569.946599,0.598140262415721
570.076802,0.593783799369246
570.207004,0.5955023166107348
570.337207,0.5944908226859341
570.467409,0.5948238307802021
570.597612,0.5920643208000681
570.727815,0.583605522243961
570.858017,0.5860383780480669
570.98822,0.5783188030466067
571.118422,0.5727305025750677
571.248625,0.5742847072331718
571.378828,0.5682123923282917
571.50903,0.5433780372971534
571.639233,0.5387088613084471
571.769435,0.5255499714693489
571.899638,0.4789735032055025
572.029841,0.456585181235623
572.160043,0.428322012770397
572.290246,0.36498464309394074
572.420448,0.3353770022739925
572.550651,0.2892395619970803
572.680854,0.15534606086221986
572.811056,0.19606677284274646
572.941259,0.36480219638787126
573.071461,0.44544121216689175
573.201664,0.48037895354917737
573.331867,0.49935900151053797
573.462069,0.5154886465082285
573.592272,0.5122307868172149
573.722474,0.509008786653531
573.852677,0.502952272032362
573.98288,0.4958161927855448
574.113082,0.49596000033253906
574.243285,0.48135511329179964
574.373487,0.47084327020131717
574.50369,0.47252245942660753
574.633893,0.47076323364868267
574.764095,0.46395857906364735
574.894298,0.4163204511487416
575.0245,0.401390704735255
575.154703,0.3526779363918818
575.284906,0.20048817731180257
575.415108,0.2904859699703038
575.545311,0.42004644100337396
575.675514,0.4764130733104474
575.805716,0.4909956552523427
575.935919,0.5061106285973052
576.066121,0.5038785561329385
576.196324,0.5021080215842917
576.326527,0.4977835176412905
576.456729,0.49730090173573377
576.586932,0.47066438374921915
576.717134,0.43758688439437465
576.847337,0.41672031068371196
576.97754,0.3976512158481453
577.107742,0.3552974333061378
577.237945,0.3791929881264316
577.368147,0.3372941097527029
577.49835,0.3062051429044585
577.628553,0.42136745974215156
577.758755,0.4652594835013142
577.888958,0.490779664685441
578.01916,0.4904460479559983
578.149363,0.49348638951128326
578.279566,0.48721976249292454
578.409768,0.4714699083726972
578.539971,0.47528531125261736
578.670173,0.46302232866519755
578.800376,0.4462883550008523
578.930579,0.4099664302807263
579.060781,0.3980968347098757
579.190984,0.3582945018108872
579.321186,0.29077660123168547
579.451389,0.3617145189381048
579.581592,0.42794097576565004
579.711794,0.4575267161569793
579.841997,0.47469157577553406
579.972199,0.4771807161451419
580.102402,0.4731229441771858
580.232605,0.4661676246439886
580.362807,0.4618107979623513
580.49301,0.45177997438543366
580.623212,0.4299914303120434
580.753415,0.40782382471520195
580.883618,0.3974842374054166
581.01382,0.36817018075698316
581.144023,0.35519086006293177
581.274225,0.36887036906867754
581.404428,0.41538478315488486
581.534631,0.44167984143971223
