nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
373.296058,0.9354178042833946
373.571553,0.9317721205878425
373.847048,0.9272825123773633
374.122543,0.9236057277248197
374.398039,0.9205103817419827
374.673534,0.9167651008585163
374.949029,0.912066841933275
375.224524,0.9089483564545173
375.50002,0.9043851124127704
375.775515,0.9001444756870385
376.05101,0.8955922927302138
376.326505,0.8919189622720383
376.602001,0.8882962293579205
376.877496,0.8835918774879375
377.152991,0.880090971630555
377.428486,0.8766828347218517
377.703982,0.8722493012541098
377.979477,0.8664767519665175
378.254972,0.8614140464148587
378.530468,0.857297739557864
378.805963,0.853192570695178
379.081458,0.8486486653925008
379.356953,0.844618696679884
379.632449,0.8403473169848557
379.907944,0.8358383883132846
380.183439,0.8329180674967772
380.458934,0.8303898414222911
380.73443,0.8281094063936931
381.009925,0.8258765267404363
381.28542,0.8240368740609101
381.560915,0.822711242113737
381.836411,0.8220615568919188
382.111906,0.8203780568773811
382.387401,0.8203206324232789
382.662896,0.8191975626353213
382.938392,0.8174300055489084
383.213887,0.8151688575692864
383.489382,0.8127676529576325
383.764878,0.8103249005089636
384.040373,0.8079137267387132
384.315868,0.8041254416665596
384.591363,0.8014601719960184
384.866859,0.7991552873277282
385.142354,0.7979255353373161
385.417849,0.7971917814233603
385.693344,0.7960207704086336
385.96884,0.7965622486142364
386.244335,0.7980133119738297
386.51983,0.7992112301558173
386.795325,0.8014040717475103
387.070821,0.803771704300154
387.346316,0.8063882118608442
387.621811,0.8107707017883574
387.897306,0.8147776704100822
388.172802,0.8181332977259704
388.448297,0.8215602522556734
388.723792,0.8246056557111151
388.999287,0.827968639760109
389.274783,0.8300743532291037
389.550278,0.8308965337510072
389.825773,0.832177100196064
390.101269,0.8333762984358575
390.376764,0.8339515265126426
390.652259,0.8346022624573485
390.927754,0.8360640951471806
391.20325,0.837871945368045
391.478745,0.8400868496911068
391.75424,0.8434623613360036
392.029735,0.8468768418823571
392.305231,0.8511473637555363
392.580726,0.8556190816105134
392.856221,0.8603551584873431
393.131716,0.8646677066657542
393.407212,0.8701062050621041
393.682707,0.8759642494576029
393.958202,0.8829824093831478
394.233697,0.8893628246623413
394.509193,0.8941247251045201
394.784688,0.8993437035001578
395.060183,0.9047197968171597
395.335679,0.9096648900365575
395.611174,0.9152591772410946
395.886669,0.9199426020145062
396.162164,0.9234792024073035
396.43766,0.9269969533418999
396.713155,0.9295404079355802
396.98865,0.9327304748374933
397.264145,0.9356105202001349
397.539641,0.9388524005893022
397.815136,0.9407197549114062
398.090631,0.9434952015349297
398.366126,0.9456308576350103
398.641622,0.9484207936996248
398.917117,0.9503062290134684
399.192612,0.9524896863680083
399.468107,0.9544500196952919
399.743603,0.9564459498095996
400.019098,0.9584795999789284
400.294593,0.9614718418784225
400.570088,0.9636809537417762
400.845584,0.9647377270730783
401.121079,0.9658623014625086
401.396574,0.9674089181082203
401.67207,0.9687719892418081
401.947565,0.9701098174761301
402.22306,0.9713630380302997
402.498555,0.9716894708487203
402.774051,0.9726888812336771
403.049546,0.9730585732455796
403.325041,0.9736124011228451
403.600536,0.9749734881451396
403.876032,0.9753840383984133
404.151527,0.9762632554448105
404.427022,0.9771569451242192
404.702517,0.9777091947940552
404.978013,0.9781385033569046
405.253508,0.9790564277122734
405.529003,0.9792277775797992
405.804498,0.9800732159060169
406.079994,0.9805672973048875
406.355489,0.9813864129313187
406.630984,0.9822582711137432
406.90648,0.9831731793878677
407.181975,0.983439655425354
407.45747,0.9839078841309277
407.732965,0.9841440503619333
408.008461,0.9847849367245959
408.283956,0.9844915145355295
408.559451,0.9846027683623949
408.834946,0.9848420559073662
409.110442,0.9850508645561533
409.385937,0.9852469091839935
409.661432,0.9847337292392924
409.936927,0.9853818972570235
410.212423,0.9851523300205843
410.487918,0.9849297107509246
410.763413,0.9852705553935672
411.038908,0.985348394842061
411.314404,0.9855139472784098
411.589899,0.985753456266762
411.865394,0.9856923414470524
412.14089,0.9865877565500233
412.416385,0.9872470173399878
412.69188,0.9880855459627421
412.967375,0.988356318496479
413.242871,0.9889762122245518
413.518366,0.9894342142300943
