nu,[0]Cineole-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
582.51285,0.9303289925141147
582.648453,0.9274716973060948
582.784056,0.9465542438912555
582.919658,0.9270683348554603
583.055261,0.9363930176333756
583.190864,0.9477286991654639
583.326467,0.9189587898637153
583.462069,0.9410368308931135
583.597672,0.9405795981098655
583.733275,0.9353205258903132
583.868877,0.9458559445634095
584.00448,0.9379018246555033
584.140083,0.9524611121060335
584.275686,0.9380293879777657
584.411288,0.9377076990704908
584.546891,0.9589340270000142
584.682494,0.9345660267072874
584.818096,0.9553075007643552
584.953699,0.9507168499921477
585.089302,0.9333612138042349
585.224904,0.9575158543466814
585.360507,0.9503860580894798
585.49611,0.950967872374042
585.631713,0.9582620498026124
585.767315,0.9464775761025876
585.902918,0.9650503527392731
586.038521,0.9437924493374842
586.174123,0.948385702779444
586.309726,0.9716632355871849
586.445329,0.9378014745290927
586.580932,0.9584719321727999
586.716534,0.9646962442427014
586.852137,0.9415771410882372
586.98774,0.9717885882296473
587.123342,0.9589244377076908
587.258945,0.9563321395134192
587.394548,0.9664149327364218
587.530151,0.9569750106916957
587.665753,0.9698168885457472
587.801356,0.9541379655624829
587.936959,0.9616468456785071
588.072561,0.9849287258217063
588.208164,0.9491466131973656
588.343767,0.9682015505508306
588.47937,0.9768706800791749
588.614972,0.9513264548504768
588.750575,0.9712804756810166
588.886178,0.9671409829486372
589.02178,0.9671390486686054
589.157383,0.9688029904414803
589.292986,0.9635980807433444
589.428589,0.9822297860369165
589.564191,0.9581221537560012
589.699794,0.9668934265455739
589.835397,0.9822749696462892
589.970999,0.9548843932667469
590.106602,0.974944239379229
590.242205,0.9758503834163476
590.377808,0.9628284733759169
590.51341,0.9780162436853735
590.649013,0.96943970314342
590.784616,0.9767270906432853
590.920218,0.9741188112266449
591.055821,0.9699526724147927
591.191424,0.9871828483693748
591.327027,0.9604801147568165
591.462629,0.9772126446575129
591.598232,0.9876034778504985
591.733835,0.9599145585418803
591.869437,0.9864348472985313
592.00504,0.9804378709639696
592.140643,0.9679759858688581
592.276246,0.989126548034042
592.411848,0.9742805283714602
592.547451,0.981506149377471
