nu,[0]HFC-236fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
389.673084,1.0
389.793613,1.0
389.914143,1.0
390.034672,1.0
390.155202,1.0
390.275731,1.0
390.39626,1.0
390.51679,1.0
390.637319,1.0
390.757849,1.0
390.878378,1.0
390.998908,1.0
391.119437,1.0
391.239966,1.0
391.360496,1.0
391.481025,1.0
391.601555,1.0
391.722084,1.0
391.842614,1.0
391.963143,1.0
392.083672,1.0
392.204202,1.0
392.324731,1.0
392.445261,1.0
392.56579,1.0
392.68632,1.0
392.806849,1.0
392.927378,1.0
393.047908,1.0
393.168437,1.0
393.288967,1.0
393.409496,1.0
393.530026,1.0
393.650555,1.0
393.771085,1.0
393.891614,1.0
394.012143,1.0
394.132673,1.0
394.253202,1.0
394.373732,1.0
394.494261,1.0
394.614791,1.0
394.73532,1.0
394.855849,1.0
394.976379,1.0
395.096908,1.0
395.217438,1.0
395.337967,1.0
395.458497,1.0
395.579026,1.0
395.699555,1.0
395.820085,1.0
395.940614,1.0
396.061144,1.0
396.181673,1.0
396.302203,1.0
396.422732,1.0
396.543262,1.0
396.663791,1.0
396.78432,1.0
396.90485,1.0
397.025379,1.0
397.145909,1.0
397.266438,1.0
397.386968,1.0
397.507497,1.0
397.628026,1.0
397.748556,1.0
397.869085,1.0
397.989615,1.0
398.110144,1.0
398.230674,1.0
398.351203,1.0
398.471732,1.0
398.592262,1.0
398.712791,1.0
398.833321,1.0
398.95385,1.0
399.07438,1.0
399.194909,1.0
399.315438,1.0
399.435968,1.0
399.556497,1.0
399.677027,1.0
399.797556,1.0
399.918086,1.0
400.038615,1.0
400.159145,1.0
400.279674,1.0
400.400203,1.0
400.520733,1.0
400.641262,1.0
400.761792,1.0
400.882321,1.0
401.002851,1.0
401.12338,1.0
401.243909,1.0
401.364439,1.0
401.484968,1.0
401.605498,1.0
401.726027,1.0
401.846557,1.0
401.967086,1.0
402.087615,1.0
402.208145,1.0
402.328674,1.0
402.449204,1.0
402.569733,1.0
402.690263,1.0
402.810792,1.0
402.931322,1.0
403.051851,1.0
403.17238,1.0
403.29291,1.0
403.413439,1.0
403.533969,1.0
403.654498,1.0
403.775028,1.0
403.895557,1.0
404.016086,1.0
404.136616,1.0
404.257145,1.0
404.377675,1.0
404.498204,1.0
404.618734,1.0
404.739263,1.0
404.859792,1.0
404.980322,1.0
405.100851,1.0
405.221381,1.0
405.34191,1.0
405.46244,1.0
405.582969,1.0
405.703498,1.0
405.824028,1.0
405.944557,1.0
406.065087,1.0
406.185616,1.0
406.306146,1.0
406.426675,1.0
406.547205,1.0
406.667734,1.0
406.788263,1.0
406.908793,1.0
407.029322,1.0
407.149852,1.0
407.270381,1.0
407.390911,1.0
407.51144,1.0
407.631969,1.0
407.752499,1.0
407.873028,1.0
407.993558,1.0
408.114087,1.0
408.234617,1.0
408.355146,1.0
408.475675,1.0
408.596205,1.0
408.716734,1.0
408.837264,1.0
408.957793,1.0
409.078323,1.0
409.198852,1.0
409.319382,1.0
409.439911,1.0
409.56044,1.0
409.68097,1.0
409.801499,1.0
409.922029,1.0
410.042558,1.0
410.163088,1.0
410.283617,1.0
410.404146,1.0
410.524676,1.0
410.645205,1.0
410.765735,1.0
410.886264,1.0
411.006794,1.0
411.127323,1.0
411.247852,1.0
411.368382,1.0
411.488911,1.0
411.609441,1.0
411.72997,1.0
411.8505,1.0
411.971029,1.0
412.091558,1.0
412.212088,1.0
