nu,[0]2-Pentanone-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
612.811456,0.9892887780904206
612.931059,0.9926411102029642
613.050661,0.9944527431671405
613.170263,0.9932692536300969
613.289866,0.9945033621000087
613.409468,0.9943529051236802
613.529071,0.9932368735802263
613.648673,0.9928697417765592
613.768275,0.9948779625990221
613.887878,0.9934884923464755
614.00748,0.9949070134596705
614.127083,0.994658317794559
614.246685,0.9944570193231299
614.366287,0.9952211551884825
614.48589,0.9942881748565497
614.605492,0.9935996699290388
614.725095,0.9929871059161212
614.844697,0.9953414846999171
614.964299,0.9961498309805589
615.083902,0.9976218323321264
615.203504,0.9968413989095738
615.323106,0.9911568328589331
615.442709,0.9899320248287217
615.562311,0.9954423178994326
