nu,[0]Crotonaldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
542.600852,0.8616638927142815
542.720854,0.8410703265270042
542.840857,0.8798885739837017
542.960859,0.8497611236452298
543.080862,0.8787806125427733
543.200864,0.8420717959717092
543.320866,0.8769721877979416
543.440869,0.8259343401207528
543.560871,0.838970276866538
543.680874,0.877990065790885
543.800876,0.8260169376845743
543.920878,0.8302985035634091
544.040881,0.8543451584873268
544.160883,0.8803726458069415
544.280886,0.8306888355809225
544.400888,0.8576836103550829
544.52089,0.8237814622208319
544.640893,0.8375954932431829
544.760895,0.8654462578972554
544.880898,0.8690627038419818
545.0009,0.8353203291274731
545.120902,0.8252986154642626
545.240905,0.8446862688784703
545.360907,0.8469530642280806
545.48091,0.8437998137665247
545.600912,0.837118199853573
545.720914,0.8475546144287337
545.840917,0.8291534818751713
545.960919,0.83754523902123
546.080922,0.8612676184736958
546.200924,0.8478852251932695
546.320926,0.8510792746900349
546.440929,0.8228428864437408
546.560931,0.8549092124092476
546.680934,0.8343435758544818
546.800936,0.8665634039742424
546.920938,0.8264796367133138
547.040941,0.8453031149761842
547.160943,0.8667280666634576
547.280946,0.8864061720150417
547.400948,0.8499055953159935
547.52095,0.8480632997877381
547.640953,0.8630263977603099
547.760955,0.8495147286483741
547.880958,0.8400112452768842
548.00096,0.8550973131262978
548.120962,0.8949029520950152
548.240965,0.8588852083319027
548.360967,0.8457597019256525
548.48097,0.8713687742008571
548.600972,0.8777354855877194
548.720974,0.857297739557864
548.840977,0.8481226662965268
548.960979,0.8699843987200384
549.080982,0.8598305018772007
549.200984,0.8775862832377285
549.320986,0.8940800199859023
549.440989,0.885024456405086
549.560991,0.8656453334293804
549.680994,0.873314094793629
549.800996,0.8772616363763036
549.920998,0.8774634297580195
550.041001,0.8710115862319721
550.161003,0.8822851287418527
550.281006,0.8949655974942253
550.401008,0.8922668785065802
550.52101,0.9027767387898643
550.641013,0.8815002443026568
550.761015,0.877016037503565
550.881018,0.900720752540401
551.00102,0.911598160038087
551.121022,0.8848563177320488
551.241025,0.8995775632635197
551.361027,0.8854493701152925
551.48103,0.8937939601515212
551.601032,0.9228256105308253
551.721034,0.8984807478297944
551.841037,0.9127137266177283
551.961039,0.9071803557117362
552.081042,0.9279077114591283
552.201044,0.9087393223723736
