nu,[0]Dibromomethane-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
560.861217,0.9760670462501507
560.99242,0.9711794677640485
561.123622,0.9758581902506422
561.254825,0.973521859379797
561.386028,0.9762573978828505
561.51723,0.9734722110310122
561.648433,0.977416903444546
561.779636,0.9774550234471155
561.910838,0.9736367417371296
562.042041,0.9749042674848438
562.173243,0.9753138132757833
562.304446,0.9737117146526636
562.435649,0.9799810933535497
562.566851,0.967556942996306
562.698054,0.9774814150890342
562.829257,0.9725906446177052
562.960459,0.9766694654448974
563.091662,0.9684697795283315
563.222864,0.9734965481405007
563.354067,0.9732746162287239
563.48527,0.9695608906803762
563.616472,0.9711649001812892
563.747675,0.9714368644265574
563.878878,0.9756786488619503
564.01008,0.9706066408786157
564.141283,0.9757781731597872
564.272485,0.968663492854924
564.403688,0.9710541936930582
564.534891,0.9736124011228451
564.666093,0.9711105164696372
564.797296,0.9671516215579617
564.928499,0.9686886784331494
565.059701,0.9669127646074848
565.190904,0.9738129859370029
565.322106,0.971722508852372
565.453309,0.967851125020379
565.584512,0.966055493241335
565.715714,0.9682199465550525
565.846917,0.9683719690201129
565.97812,0.9678191864602425
566.109322,0.9674398756889184
566.240525,0.9733583214449923
566.371727,0.9664903160410859
566.50293,0.9659927016750223
566.634133,0.9669707811138389
566.765335,0.972189047616967
566.896538,0.9713931507512233
567.027741,0.9680853733355368
567.158943,0.966907930055748
567.290146,0.9728785740599672
567.421348,0.9682606126467898
567.552551,0.9681889640124861
567.683754,0.9664932155163832
567.814956,0.9678685464974222
567.946159,0.9655387917824155
568.077362,0.9661260178664591
568.208564,0.9649943814419975
568.339767,0.9638553957809317
568.470969,0.967635318282845
568.602172,0.9644647449251125
568.733375,0.9664381269731371
568.864577,0.964757986778073
568.99578,0.9654441736171867
569.126983,0.9640260132851887
569.258185,0.9660815770917829
569.389388,0.9666546333613893
569.52059,0.9649509576718748
569.651793,0.9651401065955674
569.782996,0.9604359336877101
569.914198,0.9654296920631944
570.045401,0.9635036527584784
570.176604,0.958661728404577
570.307806,0.9630643952511436
570.439009,0.9598041747148397
570.570211,0.9670239659693703
570.701414,0.9567109220346558
570.832617,0.9570582711394028
570.963819,0.9631192914862008
571.095022,0.9616429990988176
571.226225,0.9623240834175781
571.357427,0.9547564473306183
571.48863,0.959408816844171
571.619832,0.9630624691242793
571.751035,0.9598627245552492
571.882238,0.959489410569675
572.01344,0.9577380237955494
572.144643,0.9601238427267897
572.275846,0.9588707394427446
572.407048,0.9593618069638972
572.538251,0.958002395971799
572.669453,0.9635913355803872
572.800656,0.9619834809822363
572.931859,0.9560271182143982
573.063061,0.9585457373530402
573.194264,0.9580550875525827
573.325467,0.9577974053938353
573.456669,0.9612295815003589
573.587872,0.9577408970139306
573.719074,0.9613189800084045
573.850277,0.956691788007556
573.98148,0.959253405204525
574.112682,0.9570161615018915
574.243885,0.9541713609756939
574.375088,0.9599683152623328
574.50629,0.9552291687609485
574.637493,0.9567214459126795
574.768695,0.956424908230162
574.899898,0.9567970298924344
575.031101,0.9551699463883979
575.162303,0.9564038671136341
575.293506,0.9589416985029162
575.424708,0.9593282298882556
575.555911,0.9572238565430343
575.687114,0.9545139699889224
575.818316,0.9559515950552634
575.949519,0.9550992664275559
576.080722,0.9554383868574526
576.211924,0.9537306356223189
576.343127,0.9571472816975456
576.474329,0.9523792039724925
576.605532,0.9539757758948496
576.736735,0.956085437647334
576.867937,0.9571597246930869
576.99914,0.955350490569153
577.130343,0.9524934963343737
577.261545,0.9533787739402471
577.392748,0.9565463819069225
577.52395,0.9515348181590385
577.655153,0.9554632285784519
577.786356,0.9549101754934236
577.917558,0.9538069371251882
578.048761,0.9527802400295317
578.179964,0.9534407455746096
578.311166,0.9548118248104949
578.442369,0.9548567020208671
578.573571,0.9540244299000868
578.704774,0.9537315893534314
578.835977,0.9570180755361285
578.967179,0.9597657833156842
579.098382,0.9532376843225931
579.229585,0.9533406395519823
579.360787,0.9512341806597269
579.49199,0.9555778910454917
579.623192,0.9524125378279706
579.754395,0.9539748219195506
579.885598,0.9535875867559087
580.0168,0.95938099439191
580.148003,0.9575168118630145
580.279206,0.9574134056313703
580.410408,0.9576719421517504
580.541611,0.9583022976539031
580.672813,0.9543001828047034
580.804016,0.9574976617182793
580.935219,0.9549502825630368
581.066421,0.956835302539078
581.197624,0.9593502946912873
581.328827,0.9543984807857914
581.460029,0.9508147788709476
581.591232,0.9549292738879167
581.722434,0.9641928042124862
581.853637,0.9647734230293511
581.98484,0.9587230847185759
582.116042,0.9580579617221566
582.247245,0.9604234481017286
582.378448,0.9624463063371633
582.50965,0.9656778393796189
582.640853,0.9670781208277865
582.772055,0.9620286952683699
582.903258,0.9607039326973323
583.034461,0.9605790493036781
583.165663,0.96097200648911
583.296866,0.9626513292345765
583.428069,0.9642844068799442
583.559271,0.965732884585237
583.690474,0.9632377624448681
583.821676,0.9651265947286584
583.952879,0.9664429591758525
584.084082,0.9646171423938936
584.215284,0.9680050255840278
584.346487,0.9695657384969492
584.47769,0.9681821867134586
584.608892,0.9653399112767037
584.740095,0.9664555230159866
584.871297,0.9647917538985313
585.0025,0.9674640619881381
585.133703,0.9702242971887626
585.264905,0.9641542372716616
585.396108,0.9681018309267726
585.527311,0.9661076616465043
585.658513,0.9677311189214083
585.789716,0.9666391670109867
585.920918,0.9682199465550525
586.052121,0.9654654136226455
586.183324,0.9633543212657905
586.314526,0.9661946152489059
586.445729,0.9590443107543135
586.576932,0.9592994504730524
586.708134,0.9570649705707487
586.839337,0.9556352274390291
586.970539,0.9559774060967774
587.101742,0.9520735393098204
587.232945,0.9497333670926006
587.364147,0.9464435035231581
587.49535,0.9480936449622005
587.626553,0.9499945796836361
587.757755,0.9497343168264425
587.888958,0.948241559107818
588.02016,0.9462305776899199
588.151363,0.9482301802773818
588.282566,0.9458786453784876
588.413768,0.9509421965881126
588.544971,0.9478642340599585
