nu,[0]n-Butylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
694.081882,0.9522068389360798
694.209884,0.952343966593841
694.337887,0.9523144443884732
694.465889,0.9522953982900471
694.593892,0.9519888085353971
694.721894,0.952528739245728
694.849897,0.9513007693829512
694.9779,0.9518679136337019
695.105902,0.9514482324302965
695.233905,0.9516870759102393
695.361907,0.951688027597791
695.48991,0.95139970980778
695.617912,0.9513949528211234
695.745915,0.9508927488795416
695.873917,0.9515176906864594
696.00192,0.9518831436421599
696.129923,0.9505856601191581
696.257925,0.9510696313803958
696.385928,0.9504221734458747
696.51393,0.9512370343665494
696.641933,0.9502596651490708
696.769935,0.9500325802268292
696.897938,0.9509127178369414
697.025941,0.9495757244383655
697.153943,0.9504174213468877
697.281946,0.9501959998843159
697.409948,0.9503052787077145
697.537951,0.9498140978598124
697.665953,0.9492956409140072
697.793956,0.9492035637026556
697.921958,0.9489017649579418
698.049961,0.9489805270730158
698.177964,0.948667415165388
698.305966,0.9491361726420436
698.433969,0.948287075795047
698.561971,0.9485194345914071
698.689974,0.9485165890373716
698.817976,0.9475675989805094
698.945979,0.9483306980038366
699.073981,0.9479467018356179
699.201984,0.9482747481431916
699.329987,0.947270109462728
699.457989,0.9472000140681894
699.585992,0.9480282287575832
699.713994,0.9474093684041005
699.841997,0.9478158942166979
699.969999,0.9470588917799648
700.098002,0.9470986690887372
700.226005,0.9461217674301954
700.354007,0.9465381526058857
700.48201,0.9468865427458987
700.610012,0.9456157276623283
700.738015,0.9462485562416917
700.866017,0.946075408599392
700.99402,0.9461179829506947
701.122022,0.9454029880577073
701.250025,0.9452318856021081
701.378028,0.9456478791436409
701.50603,0.9445902909978027
701.634033,0.945181789639726
701.762035,0.9446072937760651
701.890038,0.9451402025559044
702.01804,0.9437858428134617
702.146043,0.9436291873663165
702.274045,0.9445591200325234
702.402048,0.9443570060078085
702.530051,0.9438273703041435
702.658053,0.9434838796604427
702.786056,0.9437169489615925
702.914058,0.9425022239821468
703.042061,0.9428670429307412
703.170063,0.9425220167366736
703.298066,0.9423165693316058
703.426069,0.9422647433455202
703.554071,0.9424626397200149
703.682074,0.9419792803781102
703.810076,0.9410302436583526
703.938079,0.9412269395332802
704.066081,0.9414820465993399
704.194084,0.9408420564289711
704.322086,0.9404742590939722
704.450089,0.94006712189135
704.578092,0.9405241055506236
704.706094,0.9398687886535234
704.834097,0.9392834327554872
704.962099,0.9397203011157405
705.090102,0.9389829101431879
705.218104,0.9391998402498937
705.346107,0.938962252746397
705.474109,0.938323975453404
705.602112,0.9377808431235993
705.730115,0.9378042879377364
705.858117,0.9375745540307443
705.98612,0.9374423653381478
706.114122,0.937368310316498
706.242125,0.9366983315205838
706.370127,0.9364857251310668
706.49813,0.9363143639233965
706.626133,0.9359530163234955
706.754135,0.936037255885688
706.882138,0.9352718904874984
707.01014,0.9354524153824545
707.138143,0.9351886549932794
707.266145,0.9347688495405644
707.394148,0.934756697624508
707.52215,0.9342137617213409
707.650153,0.9346062139104544
707.778156,0.9335320345359812
707.906158,0.9335068295113181
708.034161,0.9333584137247936
708.162163,0.9326511961165255
708.290166,0.9322987205864656
708.418168,0.9322810070790533
708.546171,0.9320647429730172
708.674173,0.9311629408444672
708.802176,0.9308473301065634
708.930179,0.9309990705878841
709.058181,0.9304750656323791
709.186184,0.9302582901974057
709.314186,0.9297532970638723
709.442189,0.9299718147635064
709.570191,0.9289364029932944
709.698194,0.9285611884849192
709.826197,0.928437698059146
709.954199,0.9282241819438869
710.082202,0.9275514633019518
710.210204,0.9270803868221509
710.338207,0.9272621123864916
710.466209,0.9260509724579564
710.594212,0.925826895237059
710.722214,0.925414993923518
710.850217,0.9254705204889336
710.97822,0.9247794521562859
711.106222,0.9244669295207578
711.234225,0.9243171780083754
711.362227,0.9230988073426759
711.49023,0.9231708118577882
711.618232,0.9225441916381761
711.746235,0.9226309148681181
711.874237,0.9216792509070402
712.00224,0.9209550956461264
712.130243,0.9213972602030407
712.258245,0.9198239370728997
712.386248,0.9203308997176092
712.51425,0.9193558658231683
712.642253,0.9190672333989619
712.770255,0.9186068960391665
712.898258,0.9182193257121285
713.026261,0.918360742377092
713.154263,0.9167375983180307
713.282266,0.9169558078323325
713.410268,0.9167220139113271
713.538271,0.9154623873339278
713.666273,0.9147980028414759
713.794276,0.9144815374841567
713.922278,0.9143279174903002
714.050281,0.9129921467612603
