nu,[0]2-Nonanone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
574.871497,0.9524220620009697
574.9905,0.9559477712565307
575.109502,0.9480462414650498
575.228505,0.9539414333850863
575.347507,0.9547879548132508
575.466509,0.9552062435360021
575.585512,0.9516490091885423
575.704514,0.9561714892089844
575.823516,0.9540883516782458
575.942519,0.9543965719907386
576.061521,0.9525877978583593
576.180524,0.9533129930743112
576.299526,0.9532929737116607
576.418528,0.9538546286643229
576.537531,0.9518612505816272
576.656533,0.9510962617028973
576.775536,0.9548643409050388
576.894538,0.9543593512502402
577.01354,0.9510991149959623
577.132543,0.9487575428508259
577.251545,0.9491997668959943
577.370547,0.9513759251123447
577.48955,0.9500306801635688
577.608552,0.9515538490457099
577.727555,0.9487793645252598
577.846557,0.9513416761955248
577.965559,0.9480652025794896
578.084562,0.9476813139151467
578.203564,0.9503081296278271
578.322566,0.949198817696702
578.441569,0.9458512152955099
578.560571,0.9493383601790246
578.679574,0.9480547739196189
578.798576,0.9479135242816642
578.917578,0.9499841298007341
579.036581,0.9459155353650075
579.155583,0.947726803709961
579.274585,0.9477476539289942
579.393588,0.946061217574696
579.51259,0.9455485913290322
579.631593,0.9458587821354995
579.750595,0.9405297487121864
579.869597,0.9400831031682626
579.9886,0.9399280022524173
580.107602,0.9420819617157026
580.226605,0.9428170723016993
580.345607,0.9395154644181085
580.464609,0.9447282112482216
580.583612,0.9421234142339668
580.702614,0.9410772963468429
580.821616,0.9383690160851923
580.940619,0.9401122461961754
581.059621,0.9365185027050505
581.178624,0.9374189295719627
581.297626,0.9374573645359865
581.416628,0.9407761997900304
581.535631,0.9370983871139338
581.654633,0.934584718214736
581.773635,0.9368557100597064
581.892638,0.9363293450730681
582.01164,0.9342539337767878
582.130643,0.9365746955009798
582.249645,0.9347772624980685
582.368647,0.9341240815049349
582.48765,0.9319939087442861
582.606652,0.9334041494075811
582.725655,0.9345342520025524
582.844657,0.9299262472609959
582.963659,0.9309543837049896
583.082662,0.9322371909014088
583.201664,0.9296315073593567
583.320666,0.9294586119787568
583.439669,0.9282993711477461
583.558671,0.9256602613934122
583.677674,0.9269051851861176
583.796676,0.92778245237326
583.915678,0.929354518443562
584.034681,0.9258917053880543
584.153683,0.9238098671472222
584.272685,0.9260167092058497
584.391688,0.9204984151848029
584.51069,0.9240833553421538
584.629693,0.9216313248320818
584.748695,0.9213779110637431
584.867697,0.9215115205473008
584.9867,0.9186087332547958
585.105702,0.9177383048239345
585.224704,0.917156643144912
585.343707,0.9194478060066832
585.462709,0.915792928914921
585.581712,0.9170062417886845
585.700714,0.9133017035659261
585.819716,0.9164323755202072
585.938719,0.9134569780534898
586.057721,0.9143370608151916
586.176724,0.911853443260881
586.295726,0.9115644315301469
586.414728,0.9105604408270822
586.533731,0.9101034541990275
586.652733,0.9093411069725095
586.771735,0.905873144364695
586.890738,0.9073527363549639
587.00974,0.9069336362103558
587.128743,0.9058350984916007
587.247745,0.9037522643567424
587.366747,0.9030476124405173
587.48575,0.9031379217171499
587.604752,0.9029482826663866
587.723754,0.9017391422726052
587.842757,0.8994786151738053
587.961759,0.9004235637309131
588.080762,0.8988761663445334
588.199764,0.8963359429053108
588.318766,0.8967393848472471
588.437769,0.8954848281030928
588.556771,0.8948224144535749
588.675774,0.8928023992738487
588.794776,0.8941604908088336
588.913778,0.8917316789553976
589.032781,0.8905019379548894
589.151783,0.8893183576327932
589.270785,0.8887049396195784
589.389788,0.8889627014257235
589.50879,0.8871599375662308
589.627793,0.8891671863619177
589.746795,0.8871155806782839
589.865797,0.8880475412316627
