nu,[0]Methylisoamylketone-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
589.865797,0.8946345214759929
589.9848,0.9011171568740768
590.103802,0.9079699460431961
590.222804,0.9034450408178223
590.341807,0.9074952019178257
590.460809,0.9035173193121889
590.579812,0.9021540376966821
590.698814,0.8996315395365875
590.817816,0.9117485861443058
590.936819,0.9055597664742463
591.055821,0.9030656735733769
591.174823,0.9089583549414298
591.293826,0.9109976147520275
591.412828,0.908352281866524
591.531831,0.9030476124405173
591.650833,0.9109037868299289
591.769835,0.9069281946248634
591.888838,0.9079753938792159
592.00784,0.9118744161312631
592.126843,0.9094747899406919
592.245845,0.9078846008795536
592.364847,0.9101771755644926
592.48385,0.908378624464664
592.602852,0.9065156361604771
592.721854,0.9057318391762654
592.840857,0.912247449047492
592.959859,0.9093392882921142
593.078862,0.9141432419038293
593.197864,0.9114504930975059
593.316866,0.9133939516964384
593.435869,0.9115708125035009
593.554871,0.916410381407125
593.673873,0.9146141469210438
593.792876,0.9096112213912859
593.911878,0.9141048486939325
594.030881,0.9128944618277939
594.149883,0.9219069337996939
594.268885,0.923947525072688
594.387888,0.9209679891077195
594.50689,0.9172144258335656
594.625893,0.9152582619823749
594.744895,0.9135748216044044
594.863897,0.9168540313863605
594.9829,0.9277518360575036
595.101902,0.9183488037650421
595.220904,0.9223477106513251
595.339907,0.9183809465356692
595.458909,0.9268152797436391
595.577912,0.9179420653441863
595.696914,0.919419303566487
595.815916,0.9222370355666849
595.934919,0.918054061107761
596.053921,0.9228043857858685
596.172923,0.9203769174130279
596.291926,0.9235632428385042
596.410928,0.9282993711477461
596.529931,0.926971924762047
596.648933,0.923462579931263
596.767935,0.9235946445225863
596.886938,0.9259241121648583
597.00594,0.9251346356567814
597.124942,0.9241332571906801
597.243945,0.9243439835952167
597.362947,0.9224879181588448
597.48195,0.9270006613371292
597.600952,0.9311256950717538
597.719954,0.9227610149989581
597.838957,0.9299699548217368
597.957959,0.9295357602451598
598.076962,0.9326017669130168
598.195964,0.9304415691329571
598.314966,0.9267244562966458
598.433969,0.9239974195861815
598.552971,0.9258805947542537
598.671973,0.9270266177190343
598.790976,0.9332361517809278
598.909978,0.9240704182657388
599.028981,0.9255445610921574
599.147983,0.9290051468306065
599.266985,0.9292838901840681
599.385988,0.9373233177174338
599.50499,0.9298611547019539
599.623992,0.9292783144974541
599.742995,0.9277750301433298
599.861997,0.9421865386173637
599.981,0.9362937652339766
600.100002,0.9344809850683102
600.219004,0.9318680980590179
600.338007,0.9347015486062601
600.457009,0.9296556780927663
600.576012,0.9350596078633471
600.695014,0.9385041509529856
600.814016,0.9367048884318535
600.933019,0.9352428975082868
601.052021,0.9344622956355039
601.171023,0.9362441429794205
601.290026,0.9311080038516145
601.409028,0.9420847879658271
601.528031,0.9351821086956066
601.647033,0.9446120168243416
601.766035,0.9355057376898026
601.885038,0.9402617359274393
602.00404,0.9405513811451788
602.123042,0.9350717637172622
602.242045,0.9395173434509164
602.361047,0.9347258511624558
602.48005,0.9445562863594139
602.599052,0.9366280817801179
602.718054,0.9474899016230282
602.837057,0.9421139930469304
602.956059,0.9497248195307608
603.075062,0.9438179320776318
603.194064,0.9475126416535464
603.313066,0.9382761221509255
603.432069,0.9493611445730805
603.551071,0.9420508735239239
603.670073,0.9418427032845339
603.789076,0.9457736586757205
603.908078,0.9376308101916542
