nu,[0]Styrene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
620.886418,0.989139406762748
621.00442,0.9897498940926948
621.122422,0.9896261830880321
621.240425,0.9899201457156985
621.358427,0.9899330147612415
621.47643,0.9901491407276548
621.594432,0.9905611284577039
621.712434,0.9902004317815714
621.830437,0.9903128259088246
621.948439,0.9911087629182449
622.066441,0.990512889305381
622.184444,0.991212339195736
622.302446,0.9913796699609115
622.420448,0.9912876741962087
622.538451,0.9912438602493046
622.656453,0.9906833712431804
622.774455,0.9914600741124897
622.892458,0.9906715821812077
623.01046,0.9917971286708577
623.128463,0.9910409733972894
623.246465,0.9917591435682489
623.364467,0.9911047984911221
623.48247,0.991621893600696
623.600472,0.9917574575791379
623.718474,0.9917461516085657
623.836477,0.9911733853162544
623.954479,0.9915458391181834
624.072481,0.9916390488078474
624.190484,0.9915321558800182
624.308486,0.9916583859578357
624.426489,0.9914435168675054
624.544491,0.9915721154310797
624.662493,0.9915767758309741
624.780496,0.9916999373147022
624.898498,0.9914804984003859
625.0165,0.9913932519554265
625.134503,0.9921206064547033
625.252505,0.9916151505947457
625.370507,0.9918945279311185
625.48851,0.9916912103936523
625.606512,0.9917404986716124
625.724514,0.9917176889024564
625.842517,0.9917664826130658
625.960519,0.9920529461365861
626.078522,0.991844835260081
626.196524,0.9916791118346868
626.314526,0.9919628718185128
626.432529,0.9914307273286305
626.550531,0.9918767731779741
626.668533,0.9913419982492201
626.786536,0.9918024843898129
626.904538,0.9915726112172614
627.02254,0.9914334041952081
627.140543,0.9916549151595587
627.258545,0.991943627925466
627.376548,0.991922400558962
627.49455,0.9917234408817327
627.612552,0.991931823866528
627.730555,0.991989258381843
627.848557,0.9921208048788445
627.966559,0.9922537579743567
628.084562,0.991946306176877
628.202564,0.992315775772266
628.320566,0.9921221938489435
628.438569,0.9921220946367291
628.556571,0.9923598355708306
628.674573,0.9925289480947898
628.792576,0.9924922252030879
628.910578,0.9921906526421204
629.028581,0.9925316279265674
629.146583,0.9922133740682252
629.264585,0.9924478617921509
629.382588,0.9927378974295096
629.50059,0.9927411734699766
629.618592,0.9922761831626905
629.736595,0.9926600698292329
629.854597,0.9923914923545084
629.972599,0.9925165415604795
630.090602,0.9929793606469016
630.208604,0.9928285385372485
630.326607,0.9928256593386616
630.444609,0.9930610862112437
630.562611,0.9929444083885701
630.680614,0.9924415101461608
630.798616,0.9939728366627667
630.916618,0.9925149535352835
631.034621,0.9928934716469584
631.152623,0.9929591040745621
631.270625,0.9932765045221141
631.388628,0.992982240291223
631.50663,0.9930800538591308
631.624632,0.9928638838623636
631.742635,0.9929933617545943
631.860637,0.9929538414052567
631.97864,0.9929223652673835
632.096642,0.9932621021172163
632.214644,0.9930369551200426
632.332647,0.9930065686541313
632.450649,0.9934000758052511
632.568651,0.9929880989037235
632.686654,0.9926110336329874
632.804656,0.9932532621238455
632.922658,0.9929771760947111
633.040661,0.9928133483768139
