nu,[0]Acetonitrile-HITRAN(x-sec)-X=0.01-T=203.2K-P=0.1321atm-L=15cm
884.182084,0.9995282513084218
884.198484,0.9998186364483577
884.214884,0.9999330952382234
884.231285,0.9998090882259725
884.247685,0.999493048543335
884.264085,0.9987106319501875
884.280486,0.9996153839837109
884.296886,0.9995881548315139
884.313286,0.9995022039415914
884.329687,0.998711830403665
884.346087,0.9983986834776547
884.362487,0.9978354460329595
884.378888,0.9987700570006662
884.395288,0.9989693315040087
884.411688,0.9994600858061526
884.428089,0.9989757249281892
884.444489,0.9985658294069928
884.460889,0.9981859473860412
884.47729,0.9983282988515567
884.49369,0.9983320925063003
884.51009,0.9980201624689989
884.526491,0.9990762968766218
884.542891,0.9990707819906842
884.559291,0.9996182928687106
884.575692,0.9990040462914443
884.592092,0.9994600958007535
884.608492,0.9981751670360235
884.624892,0.998470071535616
884.641293,0.9987980229537838
884.657693,0.9988387747444512
884.674093,0.9990724604310078
884.690494,0.999344704799743
884.706894,0.9992611330966801
884.723294,0.9991591137431676
884.739695,0.9998317041633334
884.756095,0.9996989753170245
884.772495,0.9991974322299318
884.788896,0.9996381354887615
884.805296,0.9996954163950073
884.821696,0.9991872204843566
884.838097,0.9994659226700974
884.854497,0.9996854094939738
